INFO 2026-02-17 17:27:17,637 autoreload 8464 2172 Watching for file changes with StatReloader
INFO 2026-02-17 17:27:23,583 SentenceTransformer 8464 2172 Use pytorch device_name: cpu
INFO 2026-02-17 17:27:23,583 SentenceTransformer 8464 2172 Load pretrained SentenceTransformer: DMetaSoul/sbert-chinese-general-v2
INFO 2026-02-17 17:27:33,983 basehttp 8464 8048 "OPTIONS /api/v1/recommender/recommendations/generate_recommendations/?type=hybrid&n=10&min_similarity=0.1 HTTP/1.1" 200 0
ERROR 2026-02-17 17:27:34,004 exceptions 8464 8048 API Error: {'detail': ErrorDetail(string='Given token not valid for any token type', code='token_not_valid'), 'code': ErrorDetail(string='token_not_valid', code='token_not_valid'), 'messages': [{'token_class': ErrorDetail(string='AccessToken', code='token_not_valid'), 'token_type': ErrorDetail(string='access', code='token_not_valid'), 'message': ErrorDetail(string='Token is invalid', code='token_not_valid')}]}
WARNING 2026-02-17 17:27:34,007 log 8464 8048 Unauthorized: /api/v1/recommender/recommendations/generate_recommendations/
WARNING 2026-02-17 17:27:34,009 basehttp 8464 8048 "GET /api/v1/recommender/recommendations/generate_recommendations/?type=hybrid&n=10&min_similarity=0.1 HTTP/1.1" 401 620
INFO 2026-02-17 17:27:34,023 basehttp 8464 8048 "OPTIONS /api/v1/token/refresh HTTP/1.1" 200 0
ERROR 2026-02-17 17:27:34,032 exceptions 8464 8048 API Error: {'detail': ErrorDetail(string='Token is invalid', code='token_not_valid'), 'code': ErrorDetail(string='token_not_valid', code='token_not_valid')}
WARNING 2026-02-17 17:27:34,033 log 8464 8048 Unauthorized: /api/v1/token/refresh
WARNING 2026-02-17 17:27:34,034 basehttp 8464 8048 "POST /api/v1/token/refresh HTTP/1.1" 401 245
INFO 2026-02-17 17:27:49,903 basehttp 8464 8048 "OPTIONS /api/v1/users/login/ HTTP/1.1" 200 0
INFO 2026-02-17 17:27:50,445 basehttp 8464 8048 "POST /api/v1/users/login/ HTTP/1.1" 200 1016
INFO 2026-02-17 17:27:50,517 algorithms 8464 8048 Generating hybrid recommendations for user 37
INFO 2026-02-17 17:27:50,518 algorithms 8464 8048 Generating user-based recommendations for user 37
INFO 2026-02-17 17:27:50,544 algorithms 8464 8048 Generating item-based recommendations for user 37
INFO 2026-02-17 17:27:50,554 algorithms 8464 8048 Generated 4 item-based recommendations
